Date,Open,High,Low,Close,Adj Close,Volume
2020-05-08,3770.000000,3900.000000,3760.000000,3899.996094,3899.996094,11480
2020-05-11,3780.000000,3920.000000,3763.500000,3886.139893,3886.139893,4845
2020-05-12,3944.600098,4040.000000,3920.300049,3931.674072,3931.674072,42680
2020-05-13,3963.600098,3970.000000,3636.000000,3829.377930,3829.377930,21485
2020-05-14,3828.197998,3840.000000,3716.600098,3820.000000,3820.000000,3865
2020-05-15,3780.000000,3857.993896,3780.000000,3826.666016,3826.666016,2005
2020-05-18,3900.000000,3900.399902,3820.000000,3861.729980,3861.729980,24605
2020-05-19,3812.000000,3871.800049,3810.000000,3816.802002,3816.802002,7865
2020-05-20,3830.000000,3839.993896,3758.531982,3768.986084,3768.986084,11785
2020-05-21,3740.000000,3806.998047,3660.199951,3799.998047,3799.998047,3240
2020-05-22,3799.800049,3799.800049,3680.001953,3700.573975,3700.573975,1155
2020-05-25,3700.573975,3700.573975,3700.573975,3700.573975,3700.573975,0
2020-05-26,3700.573975,3700.573975,3638.000000,3640.701904,3640.701904,4025
2020-05-27,3620.000000,3660.000000,3520.001953,3660.000000,3660.000000,6650
2020-05-28,3626.000000,3648.149902,3600.000000,3600.000000,3600.000000,6695
2020-05-29,3617.001953,3700.000000,3617.001953,3692.447998,3692.447998,1505
2020-06-01,3800.001953,3970.000000,3800.001953,3956.822021,3956.822021,9255
2020-06-02,3949.998047,3949.998047,3760.000000,3843.810059,3843.810059,1650
2020-06-03,3850.000000,3865.000000,3831.063965,3861.996094,3861.996094,6840
2020-06-04,3896.000000,3917.998047,3770.000000,3781.931885,3781.931885,1505
2020-06-05,3794.280029,3839.998047,3763.399902,3826.238037,3826.238037,6540
2020-06-08,3860.001953,4089.996094,3860.001953,4078.343994,4078.343994,8895
2020-06-09,4100.000000,4159.998047,4022.802002,4117.007813,4117.007813,8660
2020-06-10,4280.000000,4482.295898,4280.000000,4462.589844,4462.589844,15260
2020-06-11,4440.000000,4531.200195,4400.000000,4431.032227,4431.032227,12625
2020-06-12,4415.598145,4415.598145,4110.000000,4173.965820,4173.965820,5300
2020-06-15,4134.007813,4432.087891,4080.000000,4421.894043,4421.894043,7005
2020-06-16,4470.000000,4470.000000,4305.448242,4370.855957,4370.855957,3965
2020-06-17,4373.000000,4469.370117,4373.000000,4452.193848,4452.193848,7540
2020-06-18,4552.799805,4579.996094,4500.206055,4568.580078,4568.580078,4490
2020-06-19,4560.000000,4560.000000,4500.000000,4539.914063,4539.914063,3225
2020-06-22,4500.000000,4500.000000,4444.600098,4469.375977,4469.375977,2805
2020-06-23,4469.375977,4516.799805,4469.375977,4483.001953,4483.001953,1130
2020-06-24,4490.580078,4490.580078,4340.000000,4389.490234,4389.490234,7315
2020-06-25,4362.001953,4465.996094,4300.000000,4455.916016,4455.916016,2150
2020-06-26,4500.000000,4520.000000,4422.399902,4434.479980,4434.479980,2905
2020-06-29,4440.000000,4650.000000,4400.001953,4630.768066,4630.768066,5770
2020-06-30,4733.200195,4998.000000,4733.200195,4961.642090,4961.642090,6070
2020-07-01,4956.998047,5161.596191,4956.998047,5093.271973,5093.271973,10005
2020-07-02,5486.319824,5513.750000,5350.000000,5438.000000,5438.000000,10630
2020-07-03,5455.399902,5600.000000,5440.000000,5440.000000,5440.000000,1265
2020-07-06,5700.000000,6126.644043,5658.000000,6086.664063,6086.664063,16680
2020-07-07,6300.000000,6450.000000,6100.000000,6338.709961,6338.709961,17840
2020-07-08,6423.837891,6469.998047,5896.200195,6189.812012,6189.812012,10245
2020-07-09,6280.000000,6329.998047,6160.000000,6280.009766,6280.009766,4995
2020-07-10,6339.996094,6940.000000,6304.003906,6900.821777,6900.821777,11185
2020-07-13,7229.799805,8000.000000,6760.000000,6967.609863,6967.609863,55920
2020-07-14,7000.001953,7200.000000,6568.000000,6818.950195,6818.950195,24650
2020-07-15,6870.000000,6900.000000,6520.000000,6874.284180,6874.284180,10320
2020-07-16,6712.399902,6839.998047,6560.000000,6834.000000,6834.000000,6345
2020-07-17,6842.799805,6880.000000,6727.731934,6780.501953,6780.501953,8310
2020-07-20,6840.000000,7409.996094,6750.000000,7369.187988,7369.187988,14755
2020-07-21,7406.032227,7470.000000,6964.000000,7029.620117,7029.620117,55680
2020-07-22,7152.000000,7260.000000,6999.998047,7152.476074,7152.476074,7865
